index,title,duration_str,duration_sec
1,001-全新SSM课程-开篇介绍,08:11,491
2,002-maven-介绍和作用,17:16,1036
3,003-maven-安装和配置,11:49,709
4,004-maven-项目定位属性,08:54,534
5,005-maven-工程快速搭建,13:26,806
6,006-maven-核心功能依赖管理,19:09,1149
7,007-maven-依赖传递和依赖冲突,13:13,793
8,008-maven-依赖下载失败问题解决方案,08:05,485
9,009-maven-构建动作扩展,29:36,1776
10,010-maven-继承特性理解,15:37,937
11,011-maven-聚合关系实现和作用,05:00,300
12,012-maven-实战检验,18:01,1081
13,013-maven-技术总结,05:15,315
14,014-spring-框架概念理解,13:43,823
15,015-spring-spring体系结构,10:05,605
16,016-spring-ioc-组件和组件管理概念,12:57,777
17,017-spring-ioc-核心容器理解,15:54,954
18,018-spring-ioc-ioc和di理解,08:28,508
19,019-spring-ioc-IoC实践基本步骤,10:41,641
20,020-spring-ioc-基于xml的ioc的配置,26:41,1601
21,021-spring-ioc-基于xml的di配置,22:53,1373
22,022-spring-ioc-基于xml的ioc容器的创建,12:59,779
23,023-spring-ioc-ioc容器的bean获取三种方式,10:53,653
24,024-spring-ioc-扩展组件周期方法,16:05,965
25,025-spring-ioc-扩展作用域配置,11:46,706
26,026-spring-ioc-扩展factoryBean使用,24:33,1473
27,027-spring-ioc-三层架构组件管理介绍和jdbctemplate使用,32:03,1923
28,028-spring-ioc-三层架构组件管理实战,17:11,1031
29,029-spring-ioc-基于注解方式ioc配置,27:33,1653
30,030-spring-ioc-扩展周期方法和作用域注解,07:06,426
31,031-spring-ioc-di注入注解语法,26:31,1591
32,032-spring-ioc-属性@Value注解,08:34,514
33,033-spring-ioc-注解三层综合案例,22:54,1374
34,034-spring-ioc-配置类和完全注解开发介绍,12:14,734
35,035-spring-ioc-@Bean注解使用,06:31,391
36,036-spring-ioc-@Bean注解详解,11:02,662
37,037-spring-ioc-@Import注解使用,03:24,204
38,038-spring-ioc-配置类案例练习,11:11,671
39,039-spring-ioc-三种配置方式总结,05:08,308
40,040-spring-test-测试环境搭建,05:31,331
41,041-spring-aop-场景复现和解决思路,06:45,405
42,042-spring-aop-代理模式和静态代理,15:10,910
43,043-spring-aop-动态代理模式,14:58,898
44,044-spring-aop-面向切面编程思想,11:17,677
45,045-spring-aop-aop8个核心名词理解,12:38,758
46,046-spring-aop-aop思维以及aop框架和代理技术的关系,06:31,391
47,047-spring-aop-annotation快速实现,28:04,1684
48,048-spring-aop-获取切点详细信息,13:24,804
49,049-spring-aop-切点表达式语法,12:55,775
50,050-spring-aop-统一切点管理,06:25,385
51,051-spring-aop-环绕通知,07:36,456
52,052-spring-aop-切面优先级设定,03:39,219
53,053-spring-aop-cglib生效场景,02:30,150
54,054-spring-aop-注解方式总结,04:05,245
55,055-spring-aop-xml配置aop,08:57,537
56,056-spring-aop-对组件管理影响和总结,05:44,344
57,057-spring-tx-编程式和声明式事务理解,03:30,210
58,058-spring-tx-事务管理器和原理,13:03,783
59,059-spring-tx-基本程序搭建,11:00,660
60,060-spring-tx-事务注解添加实践,05:48,348
61,061-spring-tx-只读模式介绍和设置,04:26,266
62,062-spring-tx-事务超时时间设置,04:36,276
