index,title,duration_str,duration_sec
1,机器学习课程导学,12:16,736
2,第一章-机器学习概述-01.机器学习_大纲介绍,10:13,613
3,第一章-机器学习概述-02.机器学习_相关概述目录介绍,07:29,449
4,第一章-机器学习概述-03.机器学习_AI_ML_DL介绍,30:31,1831
5,第一章-机器学习概述-04.机器学习_基于规则和模型的介绍,12:25,745
6,第一章-机器学习概述-05.机器学习_应用领域和发展史介绍,15:53,953
7,第一章-机器学习概述-06.机器学习_名词介绍,11:26,686
8,第一章-机器学习概述-07.机器学习_算法分类,38:29,2309
9,第一章-机器学习概述-08.机器学习_建模流程,20:56,1256
10,第一章-机器学习概述-09.机器学习_特征工程介绍,20:59,1259
11,第一章-机器学习概述-10.上午内容回顾,06:45,405
12,第一章-机器学习概述-11.机器学习_模型拟合问题,19:54,1194
13,第一章-机器学习概述-12.机器学习_环境搭建,11:49,709
14,第一章-机器学习概述-13.KNN算法_简介,32:03,1923
15,第一章-机器学习概述-14.KNN算法_思路分析,12:58,778
16,第一章-机器学习概述-15.KNN算法_分类思想代码实现,20:20,1220
17,第一章-机器学习概述-16.KNN算法_回归思想代码实现,19:36,1176
18,第二章-KNN算法-01.常用的距离度量方式,31:02,1862
19,第二章-KNN算法-02.特征预处理_归一化,25:31,1531
20,第二章-KNN算法-03.特征预处理_标准化,17:27,1047
21,第二章-KNN算法-04.鸢尾花案例_查看数据集,25:12,1512
22,第二章-KNN算法-05.鸢尾花案例_数据集可视化,11:28,688
23,第二章-KNN算法-06.鸢尾花案例_切分训练集和测试集,12:27,747
24,第二章-KNN算法-07.鸢尾花案例_模型的评估和预测,28:35,1715
25,第二章-KNN算法-08.交叉验证和网格搜索_介绍,17:48,1068
26,第二章-KNN算法-09.交叉验证和网格搜索_代码实现,26:01,1561
27,第二章-KNN算法-10.手写数字识别_数据集介绍,13:48,828
28,第二章-KNN算法-11.手写数字识别_绘制数字,23:34,1414
29,第二章-KNN算法-12.手写数字识别_训练和保存模型,18:56,1136
30,第二章-KNN算法-13.手写数字识别_加载和使用模型,19:22,1162
31,第二章-KNN算法-14.解决预测错误的Bug,06:26,386
32,第三章-线性回归-01.今日内容大纲介绍,13:18,798
33,第三章-线性回归-02.线性回归简介,24:08,1448
34,第三章-线性回归-03.线性回归API_入门,11:10,670
35,第三章-线性回归-04.损失函数介绍,42:09,2529
36,第三章-线性回归-05.导数_复习,33:41,2021
37,第三章-线性回归-06.偏导数_复习,19:36,1176
38,第三章-线性回归-07.上午内容回顾,11:39,699
39,第三章-线性回归-08.矩阵_复习,52:42,3162
40,第三章-线性回归-09.一元线性回归_正规方程法,29:14,1754
41,第三章-线性回归-10.多元线性回归_正规方程法(上),36:15,2175
42,第三章-线性回归-11.多元线性回归_正规方程法(下),09:02,542
43,第三章-线性回归-12.补充_为啥转换时是Xw,15:13,913
44,第三章-线性回归-13.单变量_梯度下降法,19:47,1187
45,第三章-线性回归-14.多变量_梯度下降法,22:49,1369
46,第四章-线性回归-01.银行信贷案例_梯度下降法,43:09,2589
47,第四章-线性回归-02.梯度下降算法分类,37:12,2232
48,第四章-线性回归-03.回归模型_评估方法,13:38,818
49,第四章-线性回归-04.正规方程_线性回归对象API介绍,41:45,2505
50,第四章-线性回归-05.梯度下降_线性回归对象API介绍,15:51,951
51,第四章-线性回归-06.代码演示_欠拟合,35:40,2140
52,第四章-线性回归-07.代码演示_正好拟合,15:53,953
53,第四章-线性回归-08.代码演示_过拟合,05:50,350
54,第四章-线性回归-09.L1和L2正则化解释,40:30,2430
55,第五章-逻辑回归-01.今日内容大纲介绍,12:21,741
56,第五章-逻辑回归-02.逻辑回归_简介,08:38,518
57,第五章-逻辑回归-03.逻辑回归_概率相关知识回顾,36:04,2164
58,第五章-逻辑回归-04.逻辑回归_原理介绍,22:49,1369
59,第五章-逻辑回归-05.逻辑回归案例_癌症预测,35:11,2111
60,"第五章-逻辑回归-06.混淆矩阵及精确率, 召回率, F1值介绍",23:18,1398
61,第五章-逻辑回归-07.混淆矩阵_精确率_召回率_F1值_代码演示,30:22,1822
62,第五章-逻辑回归-08.混淆矩阵_总结,04:15,255
63,第五章-逻辑回归-09.ROC曲线和AUC指标介绍(了解),09:02,542
64,第五章-逻辑回归-10.ROC曲线_案例(了解),30:12,1812
65,第六章-决策树-01.逻辑回归_电信用户流失预测_数据预处理,29:41,1781
66,第六章-决策树-02.逻辑回归_电信用户流失预测_数据可视化,12:36,756
67,第六章-决策树-03.逻辑回归_电信用户流失预测_模型训练预测评估,18:13,1093
68,第六章-决策树-04.决策树_简介,14:38,878
69,第六章-决策树-05.决策树_信息熵简介,22:18,1338
70,第六章-决策树-06.决策树_信息增益计算,19:13,1153
71,第六章-决策树-07.ID3决策树_搭建,33:05,1985
72,第六章-决策树-08.上午内容回顾,08:04,484
73,第六章-决策树-09.C4.5树_信息增益率,42:00,2520
74,第六章-决策树-10.Cart树原理介绍,58:37,3517
75,第六章-决策树-11.三种决策树总结,06:17,377
76,第六章-决策树-12.泰坦尼克号案例_数据集介绍,16:30,990
77,第六章-决策树-13.泰坦尼克号案例_代码演示,21:33,1293
78,第六章-决策树-14.CART决策树_回归用法,16:49,1009
79,第七章-集成学习-01.回归决策树和线性回归对比,31:32,1892
80,第七章-集成学习-02.决策树_剪枝介绍,17:54,1074
81,第七章-集成学习-03.集成学习_大纲介绍,09:38,578
82,第七章-集成学习-04.集成学习_简介,12:28,748
83,第七章-集成学习-05.集成学习_Bagging和Boosting思想介绍,19:07,1147
84,第七章-集成学习-06.Bagging思想_随机森林算法介绍,18:40,1120
85,第七章-集成学习-07.随机森林API_泰坦尼克号案例,27:35,1655
86,第七章-集成学习-08.Boosting思想_AdaBoost自适应提升树介绍,22:29,1349
87,第七章-集成学习-09.AdaBoost算法_推导过程,51:39,3099
88,第七章-集成学习-10.AdaBoost算法_葡萄酒案例,30:39,1839
89,第七章-集成学习-11.GBDT算法_梯度提升树介绍,22:25,1345
90,第七章-集成学习-12.GBDT算法_推导过程,38:00,2280
91,第七章-集成学习-13.GBDT算法_泰坦尼克号案例,32:20,1940
92,第八章-KMeans算法-01.XGBoost极限梯度提升树_简介,22:37,1357
93,第八章-KMeans算法-02.XGBoost极限梯度提升树_推导,59:29,3569
94,第八章-KMeans算法-03.XGBoost API介绍,09:42,582
95,第八章-KMeans算法-04.XGBoost案例_红酒品质分类_数据预处理,19:46,1186
96,第八章-KMeans算法-05.XGBoost案例_红酒品质分类_模型训练,12:04,724
97,第八章-KMeans算法-06.XGBoost案例_红酒品质分类_模型评测,19:50,1190
98,第八章-KMeans算法-07.朴素贝叶斯_简介,42:23,2543
